,learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
246,0.1,RMSprop,512,0.1,500,10,1.1244436502456665,1.521672929320582
247,0.1,RMSprop,512,0.1,500,20,1.3103482484817506,1.8875475139434752
248,0.1,RMSprop,512,0.1,500,30,1.4221733212471008,2.097571422934208
249,0.1,RMSprop,512,0.1,1000,10,1.1936755418777465,1.6907986457165187
250,0.1,RMSprop,512,0.1,1000,20,2.6380891561508175,4.095538567794079
251,0.1,RMSprop,512,0.1,1000,30,0.9138993740081787,1.2187413333826866
252,0.1,adam,32,0.001,500,10,0.6657012104988098,0.8204892733328772
253,0.1,adam,32,0.001,500,20,0.6755716681480408,0.83129905338927
254,0.1,adam,32,0.001,500,30,0.6747874736785888,0.8360928805679861
255,0.1,adam,32,0.001,1000,10,0.6328805685043335,0.7949646538883783
256,0.1,adam,32,0.001,1000,20,0.6511791586875916,0.8132790187143148
257,0.1,adam,32,0.001,1000,30,0.6404690384864807,0.7994426838089437
258,0.1,adam,32,0.1,500,10,0.6628003120422363,0.8218488511055366
259,0.1,adam,32,0.1,500,20,0.6687278985977173,0.8239831661267438
260,0.1,adam,32,0.1,500,30,0.6711892485618591,0.8309302784643522
261,0.1,adam,32,0.1,1000,10,0.6278102278709412,0.785655420021578
262,0.1,adam,32,0.1,1000,20,0.6343229174613952,0.7954076672029755
263,0.1,adam,32,0.1,1000,30,0.6369596719741821,0.7975686565056399
264,0.1,adam,128,0.001,500,10,0.8245594501495361,1.0496232628974003
265,0.1,adam,128,0.001,500,20,0.8379062652587891,1.072203943270695
266,0.1,adam,128,0.001,500,30,0.8353852152824401,1.0783072688897222
267,0.1,adam,128,0.001,1000,10,0.6856139659881592,0.8551647010461292
268,0.1,adam,128,0.001,1000,20,0.7202170014381408,0.9023671015294505
269,0.1,adam,128,0.001,1000,30,0.7288030385971069,0.9170045478192334
270,0.1,adam,128,0.1,500,10,0.8301288485527039,1.0607969395849994
271,0.1,adam,128,0.1,500,20,0.8416702032089234,1.077532769623701
272,0.1,adam,128,0.1,500,30,0.8543561339378357,1.0995219485354244
273,0.1,adam,128,0.1,1000,10,0.6631661176681518,0.8211310122760871
274,0.1,adam,128,0.1,1000,20,0.7239552021026612,0.9073265156718744
275,0.1,adam,128,0.1,1000,30,0.7470546126365661,0.9444288698684202
276,0.1,adam,512,0.001,500,10,1.5519267559051513,2.4937887829086236
277,0.1,adam,512,0.001,500,20,2.155171847343445,3.591329557511395
278,0.1,adam,512,0.001,500,30,1.812594723701477,2.9555100511061165
279,0.1,adam,512,0.001,1000,10,1.1738994359970092,1.7773812024272906
280,0.1,adam,512,0.001,1000,20,0.8774768710136414,1.1676772996164906
281,0.1,adam,512,0.001,1000,30,0.9543417096138,1.325115959613941
282,0.1,adam,512,0.1,500,10,2.005353021621704,3.256460139773637
283,0.1,adam,512,0.1,500,20,2.7759674787521362,4.852913931301953
284,0.1,adam,512,0.1,500,30,2.1867140769958495,3.707833993359236
285,0.1,adam,512,0.1,1000,10,1.1523306131362916,1.769722179115488
286,0.1,adam,512,0.1,1000,20,0.8650756001472473,1.1426420589315467
287,0.1,adam,512,0.1,1000,30,1.1904586672782898,1.7410329331100591
