learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
0.001,RMSprop,128,0.1,500,20,0.9355243742465972,1.1506778882981186,1
0.001,RMSprop,128,0.1,1000,20,0.9907470166683195,1.303873203194797,1
0.001,RMSprop,128,0.1,500,30,0.9250174462795258,1.1127079407703702,1
0.001,RMSprop,128,0.1,1000,30,0.9380079984664916,1.1937781864853023,1
0.001,RMSprop,512,0.001,500,10,1.0917698383331298,1.3189127595630352,1
0.001,RMSprop,512,0.001,1000,10,1.1958539366722107,1.4699927267069814,1
0.001,RMSprop,512,0.001,500,20,1.0933193027973176,1.2886817346654174,1
0.001,RMSprop,512,0.001,1000,20,1.1389776647090912,1.3570883251918628,1
0.001,RMSprop,512,0.001,500,30,1.0959791839122772,1.2893153919341205,1
0.001,RMSprop,512,0.001,1000,30,1.134978598356247,1.3352450087382055,1
0.001,RMSprop,512,0.1,500,10,1.0265641927719116,1.3606568113821618,1
0.001,RMSprop,512,0.1,1000,10,1.167307287454605,1.78065757269104,1
0.001,RMSprop,512,0.1,500,20,0.951349464058876,1.1848214860444473,1
0.001,RMSprop,512,0.1,1000,20,1.0589210361242294,1.3869146890965196,1
0.001,RMSprop,512,0.1,500,30,0.9232535541057588,1.1313255153130926,1
0.001,RMSprop,512,0.1,1000,30,0.9869764178991318,1.2597337254470191,1
