kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
10,10,0.1,0.01,200,0.01,0.9289178854102894
10,10,0.1,0.01,200,0.1,1.005373287325736
10,10,0.1,0.1,10,0.0001,0.7848834912279209
10,10,0.1,0.1,10,0.001,0.7865046372844064
10,10,0.1,0.1,10,0.01,0.8025709056209681
10,10,0.1,0.1,10,0.1,0.8919081618320024
10,10,0.1,0.1,50,0.0001,0.7872330937968381
10,10,0.1,0.1,50,0.001,0.7918449020558677
10,10,0.1,0.1,50,0.01,0.8528088862212645
10,10,0.1,0.1,50,0.1,0.9148177901263552
10,10,0.1,0.1,100,0.0001,0.7810502885479188
10,10,0.1,0.1,100,0.001,0.7953711194970581
10,10,0.1,0.1,100,0.01,0.8850860585440147
10,10,0.1,0.1,100,0.1,0.9343399698198512
10,10,0.1,0.1,200,0.0001,0.7840088702238853
10,10,0.1,0.1,200,0.001,0.8162990755909735
10,10,0.1,0.1,200,0.01,0.898818140319976
10,10,0.1,0.1,200,0.1,0.928724650308268
10,50,0.0001,0.0001,10,0.0001,0.73829843364168
10,50,0.0001,0.0001,10,0.001,0.7373948485472893
10,50,0.0001,0.0001,10,0.01,0.7532947307904839
10,50,0.0001,0.0001,10,0.1,0.8646836154718784
10,50,0.0001,0.0001,50,0.0001,0.7388403398793896
10,50,0.0001,0.0001,50,0.001,0.7408023795179579
10,50,0.0001,0.0001,50,0.01,0.828882740258959
10,50,0.0001,0.0001,50,0.1,0.8943666979144049
10,50,0.0001,0.0001,100,0.0001,0.7365541920526937
10,50,0.0001,0.0001,100,0.001,0.753981613196692
10,50,0.0001,0.0001,100,0.01,0.8650840975753042
10,50,0.0001,0.0001,100,0.1,0.90445293370106
10,50,0.0001,0.0001,200,0.0001,0.7377175833782396
10,50,0.0001,0.0001,200,0.001,0.7754400469578078
10,50,0.0001,0.0001,200,0.01,0.8838770512182735
10,50,0.0001,0.0001,200,0.1,0.9292522367763928
10,50,0.0001,0.001,10,0.0001,0.7374651092854412
10,50,0.0001,0.001,10,0.001,0.7366383701323026
10,50,0.0001,0.001,10,0.01,0.7531280416164274
10,50,0.0001,0.001,10,0.1,0.8624376552289439
10,50,0.0001,0.001,50,0.0001,0.7365620224429558
10,50,0.0001,0.001,50,0.001,0.742419515400941
10,50,0.0001,0.001,50,0.01,0.8291337799190631
10,50,0.0001,0.001,50,0.1,0.8981933651056412
10,50,0.0001,0.001,100,0.0001,0.7375490356936091
10,50,0.0001,0.001,100,0.001,0.7521749436492372
10,50,0.0001,0.001,100,0.01,0.8622791626769365
10,50,0.0001,0.001,100,0.1,0.9065275793826364
10,50,0.0001,0.001,200,0.0001,0.7368597540999673
10,50,0.0001,0.001,200,0.001,0.7784643033850251
10,50,0.0001,0.001,200,0.01,0.8824519634443171
10,50,0.0001,0.001,200,0.1,0.916413558685032
10,50,0.0001,0.01,10,0.0001,0.7384056967978876
10,50,0.0001,0.01,10,0.001,0.7365186570122267
10,50,0.0001,0.01,10,0.01,0.752331826246272
10,50,0.0001,0.01,10,0.1,0.8640680276378228
10,50,0.0001,0.01,50,0.0001,0.739525438542248
10,50,0.0001,0.01,50,0.001,0.7404981482443772
10,50,0.0001,0.01,50,0.01,0.8263710896988307
10,50,0.0001,0.01,50,0.1,0.8886953246745682
10,50,0.0001,0.01,100,0.0001,0.7378816644359879
10,50,0.0001,0.01,100,0.001,0.7515198173292805
10,50,0.0001,0.01,100,0.01,0.8618416575295198
10,50,0.0001,0.01,100,0.1,0.8968012409057478
10,50,0.0001,0.01,200,0.0001,0.7378280533138722
10,50,0.0001,0.01,200,0.001,0.7767243216024415
10,50,0.0001,0.01,200,0.01,0.8829344851826173
10,50,0.0001,0.01,200,0.1,0.9183014199949256
10,50,0.0001,0.1,10,0.0001,0.73691101746415
10,50,0.0001,0.1,10,0.001,0.737636028081911
10,50,0.0001,0.1,10,0.01,0.75129291367075
10,50,0.0001,0.1,10,0.1,0.8507871127522708
10,50,0.0001,0.1,50,0.0001,0.7358280285417692
10,50,0.0001,0.1,50,0.001,0.7400064453677403
10,50,0.0001,0.1,50,0.01,0.8217068216557891
10,50,0.0001,0.1,50,0.1,0.8688429370217243
10,50,0.0001,0.1,100,0.0001,0.7377668781451739
10,50,0.0001,0.1,100,0.001,0.7523809691785572
10,50,0.0001,0.1,100,0.01,0.8500273242371335
10,50,0.0001,0.1,100,0.1,0.8666440951256709
10,50,0.0001,0.1,200,0.0001,0.7375003898120609
10,50,0.0001,0.1,200,0.001,0.775294242291823
10,50,0.0001,0.1,200,0.01,0.864137406901426
10,50,0.0001,0.1,200,0.1,0.8714669679153306
10,50,0.001,0.0001,10,0.0001,0.743689463626137
10,50,0.001,0.0001,10,0.001,0.7420922965659031
10,50,0.001,0.0001,10,0.01,0.7584775503372233
10,50,0.001,0.0001,10,0.1,0.8738843651116939
10,50,0.001,0.0001,50,0.0001,0.7419669565422794
10,50,0.001,0.0001,50,0.001,0.7461243618646513
10,50,0.001,0.0001,50,0.01,0.8347339806839622
10,50,0.001,0.0001,50,0.1,0.8918852555152967
10,50,0.001,0.0001,100,0.0001,0.743633226179695
10,50,0.001,0.0001,100,0.001,0.7574557523551516
10,50,0.001,0.0001,100,0.01,0.8710062267458306
10,50,0.001,0.0001,100,0.1,0.9123488404475468
10,50,0.001,0.0001,200,0.0001,0.7418872450676833
10,50,0.001,0.0001,200,0.001,0.7849669851263512
10,50,0.001,0.0001,200,0.01,0.8908745992871698
10,50,0.001,0.0001,200,0.1,0.9147725633281608
10,50,0.001,0.001,10,0.0001,0.7413576994533435
10,50,0.001,0.001,10,0.001,0.7440763412525705
10,50,0.001,0.001,10,0.01,0.758239944258771
10,50,0.001,0.001,10,0.1,0.8745797385151823
10,50,0.001,0.001,50,0.0001,0.743085455029635
10,50,0.001,0.001,50,0.001,0.7473153066874678
10,50,0.001,0.001,50,0.01,0.835077992488504
10,50,0.001,0.001,50,0.1,0.909577939178608
10,50,0.001,0.001,100,0.0001,0.7437352358896749
10,50,0.001,0.001,100,0.001,0.7579236097220344
10,50,0.001,0.001,100,0.01,0.874299292133522
10,50,0.001,0.001,100,0.1,0.9031415713253184
10,50,0.001,0.001,200,0.0001,0.741999116780176
10,50,0.001,0.001,200,0.001,0.7829667645200622
10,50,0.001,0.001,200,0.01,0.8874846394149831
10,50,0.001,0.001,200,0.1,0.9239055058163972
10,50,0.001,0.01,10,0.0001,0.7442262777129166
10,50,0.001,0.01,10,0.001,0.7449300762047596
10,50,0.001,0.01,10,0.01,0.7573763046865474
10,50,0.001,0.01,10,0.1,0.8721134841661723
10,50,0.001,0.01,50,0.0001,0.742106126943365
10,50,0.001,0.01,50,0.001,0.7472717270510991
10,50,0.001,0.01,50,0.01,0.833230363097422
10,50,0.001,0.01,50,0.1,0.8952015218108911
10,50,0.001,0.01,100,0.0001,0.7434432130748215
10,50,0.001,0.01,100,0.001,0.7577115138468622
10,50,0.001,0.01,100,0.01,0.8696264572874403
10,50,0.001,0.01,100,0.1,0.9029920365674484
10,50,0.001,0.01,200,0.0001,0.743878571572149
10,50,0.001,0.01,200,0.001,0.7835475926163654
10,50,0.001,0.01,200,0.01,0.8867148283895876
10,50,0.001,0.01,200,0.1,0.9115453910420857
10,50,0.001,0.1,10,0.0001,0.7416131118678985
10,50,0.001,0.1,10,0.001,0.742182097377036
10,50,0.001,0.1,10,0.01,0.7554404274756195
10,50,0.001,0.1,10,0.1,0.8588789037631314
