learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
1e-05,adam,128,0.1,2000,2.535778522491455,6.8374457359313965
1e-05,adam,128,0.1,4000,4.961508274078369,24.617639541625977
1e-05,adam,128,0.1,4000,4.958500862121582,24.588048934936523
1e-05,adam,128,0.1,4000,4.038858413696289,16.417821884155273
1e-05,adam,128,0.1,4000,3.948129177093506,15.615145683288574
1e-05,adam,128,0.1,4000,2.545207500457764,6.885349750518799
1e-05,adam,256,1e-05,500,4.025757312774658,16.55988883972168
1e-05,adam,256,1e-05,500,3.944321870803833,16.055185317993164
1e-05,adam,256,1e-05,500,2.978581428527832,9.535372734069824
1e-05,adam,256,1e-05,500,2.9028239250183105,8.87210750579834
1e-05,adam,256,1e-05,500,1.3944098949432373,2.806617259979248
1e-05,adam,256,1e-05,1000,4.658095359802246,21.723054885864254
1e-05,adam,256,1e-05,1000,4.655155658721924,21.698789596557617
1e-05,adam,256,1e-05,1000,3.752905607223511,14.217705726623535
1e-05,adam,256,1e-05,1000,3.637893676757813,13.283432960510254
1e-05,adam,256,1e-05,1000,2.1897640228271484,5.247531414031982
1e-05,adam,256,1e-05,2000,4.855522155761719,23.579723358154297
1e-05,adam,256,1e-05,2000,4.89109992980957,23.924606323242188
1e-05,adam,256,1e-05,2000,4.0001749992370605,16.10675621032715
1e-05,adam,256,1e-05,2000,3.82754898071289,14.680118560791016
1e-05,adam,256,1e-05,2000,2.433195114135742,6.33223295211792
1e-05,adam,256,1e-05,4000,4.936340808868408,24.36875915527344
1e-05,adam,256,1e-05,4000,4.940125942230225,24.406082153320312
1e-05,adam,256,1e-05,4000,4.056941986083984,16.56395721435547
1e-05,adam,256,1e-05,4000,3.920223236083984,15.396142959594728
1e-05,adam,256,1e-05,4000,2.534807682037353,6.833398818969727
1e-05,adam,256,0.0001,500,4.018728733062744,16.493432998657227
1e-05,adam,256,0.0001,500,3.925604104995728,15.954574584960938
1e-05,adam,256,0.0001,500,3.1931400299072266,10.56048583984375
1e-05,adam,256,0.0001,500,2.892499685287476,8.889928817749023
1e-05,adam,256,0.0001,500,1.4735465049743652,2.9106485843658447
1e-05,adam,256,0.0001,1000,4.669886589050293,21.82854652404785
1e-05,adam,256,0.0001,1000,4.611190319061279,21.30649185180664
1e-05,adam,256,0.0001,1000,3.833512783050537,14.811012268066406
1e-05,adam,256,0.0001,1000,3.554513931274414,12.713642120361328
1e-05,adam,256,0.0001,1000,2.182668924331665,5.217668533325195
