learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
0.001,adam,512,0.01,500,0.5885568857192993,0.5710718631744385
0.001,adam,512,0.01,500,0.5956217646598816,0.5816754102706909
0.001,adam,512,0.01,500,0.5900177955627441,0.5730264782905579
0.001,adam,512,0.01,500,0.5996413230895996,0.5918450951576233
0.001,adam,512,0.01,1000,0.6012904644012451,0.5909956693649292
0.001,adam,512,0.01,1000,0.5860775709152222,0.5672655701637268
0.001,adam,512,0.01,1000,0.5966302752494812,0.5807383060455322
0.001,adam,512,0.01,1000,0.5903034806251526,0.575317919254303
0.001,adam,512,0.01,1000,0.597954273223877,0.5894429683685303
0.001,adam,512,0.1,500,0.6022521257400513,0.5907608866691589
0.001,adam,512,0.1,500,0.5896613001823425,0.5731291770935059
0.001,adam,512,0.1,500,0.5952375531196594,0.5816969275474548
0.001,adam,512,0.1,500,0.5915636420249939,0.5764544010162354
0.001,adam,512,0.1,500,0.5979655385017395,0.5899742245674133
0.001,adam,512,0.1,1000,0.6038334965705872,0.5932523608207703
0.001,adam,512,0.1,1000,0.5856994390487671,0.5678762793540955
0.001,adam,512,0.1,1000,0.5963889360427856,0.5824613571166992
0.001,adam,512,0.1,1000,0.5903807878494263,0.5753645300865173
0.001,adam,512,0.1,1000,0.5997191071510315,0.5920165181159973
0.001,RMSprop,64,0.01,500,0.6009461879730225,0.5889616012573242
0.001,RMSprop,64,0.01,500,0.5907018780708313,0.56707364320755
0.001,RMSprop,64,0.01,500,0.597624659538269,0.5810753703117371
0.001,RMSprop,64,0.01,500,0.5916698575019836,0.5713837742805481
0.001,RMSprop,64,0.01,500,0.5967085957527161,0.5846489071846008
0.001,RMSprop,64,0.01,1000,0.6031104922294617,0.5892613530158997
0.001,RMSprop,64,0.01,1000,0.591140866279602,0.5686490535736084
0.001,RMSprop,64,0.01,1000,0.6005311608314514,0.5816941261291504
0.001,RMSprop,64,0.01,1000,0.5919319987297058,0.5716643929481506
0.001,RMSprop,64,0.01,1000,0.6017987132072449,0.5887411832809448
0.001,RMSprop,64,0.1,500,0.601435661315918,0.5894425511360168
0.001,RMSprop,64,0.1,500,0.5916919112205505,0.5686354637145996
0.001,RMSprop,64,0.1,500,0.5986443758010864,0.5812761187553406
0.001,RMSprop,64,0.1,500,0.5905690789222717,0.5724123120307922
0.001,RMSprop,64,0.1,500,0.6001229882240295,0.5868549346923828
0.001,RMSprop,64,0.1,1000,0.6050406098365784,0.588483989238739
0.001,RMSprop,64,0.1,1000,0.590462863445282,0.568314790725708
0.001,RMSprop,64,0.1,1000,0.6006677746772766,0.5839852094650269
0.001,RMSprop,64,0.1,1000,0.5926504731178284,0.5739684700965881
0.001,RMSprop,64,0.1,1000,0.6051266193389893,0.5915725827217102
0.001,RMSprop,512,0.01,500,0.6015781760215759,0.5861979722976685
0.001,RMSprop,512,0.01,500,0.5867272615432739,0.5638940334320068
